name	final-names	comm_code	census_year	population	occupied dwellings	persons per unit	notes
HUNTINGTON HILLS	HUNTINGTON HILLS	HUN	1996	14,595	5,100	2.86	
HARVEST HILLS	HARVEST HILLS	HAR	1969	0	0	0	
ROYAL OAK	ROYAL OAK	ROY	2009	10,423	3,588	2.9	
MAHOGANY	MAHOGANY	MAH	2000	0	0	0	
FOREST HEIGHTS	FOREST HEIGHTS	FHT	1990	6,854	2,005	3.42	
POINT MCKAY	POINT MCKAY	POI	1975	0	0	0	
NEW BRIGHTON	NEW BRIGHTON	NEB	1979	0	0	0	
WOODLANDS	WOODLANDS	WOO	2008	6,386	2,294	2.78	
STRATHCONA PARK	STRATHCONA PARK	STR	2010	7,122	2,378	2.99	
WINSTON HEIGHTS/MOUNTVIEW	WINSTON HEIGHTS/MOUNTVIEW	WIN	1989	3,464	1,504	2.3	
ERLTON	ERLTON	ERL	2005	1,263	719	1.76	
RED CARPET	RED CARPET	RED	2004	1,765	880	2.01	
CHRISTIE PARK	CHRISTIE PARK	CHR	1986	19	7	2.71	
TARADALE	TARADALE	TAR	2017	18,925	4,796	3.95	
BANFF TRAIL	BANFF TRAIL	BNF	1979	3,570	1,445	2.47	
BRITANNIA	BRITANNIA	BRT	1996	757	296	2.56	
CRANSTON	CRANSTON	CRA	2006	5,225	1,887	2.77	
RIVERBEND	RIVERBEND	RIV	1987	1,565	510	3.07	
ARBOUR LAKE	ARBOUR LAKE	ARB	2004	10,312	3,620	2.85	
BAYVIEW	BAYVIEW	BYV	1996	686	241	2.85	
HAMPTONS	HAMPTONS	HAM	1994	1,624	483	3.36	
CORAL SPRINGS	CORAL SPRINGS	COR	2011	5,838	1,466	3.98	
SPRINGBANK HILL	SPRINGBANK HILL	SPH	2015	9,874	3,224	3.06	
MAYLAND HEIGHTS	MAYLAND HEIGHTS	MAL	1978	5,710	1,683	3.39	
NORTH HAVEN	NORTH HAVEN	NHV	1997	2,442	939	2.6	
WOODLANDS	WOODLANDS	WOO	2009	6,354	2,323	2.74	
NEW BRIGHTON	NEW BRIGHTON	NEB	1986	0	0	0	
APPLEWOOD PARK	APPLEWOOD PARK	APP	1972	0	0	0	
EVANSTON	EVANSTON	EVN	1979	7	3	2.33	
ST. ANDREWS HEIGHTS	ST. ANDREWS HEIGHTS	STA	1986	2,133	709	3.01	
GARRISON GREEN	GARRISON GREEN	GAG	2009	1,402	651	2.15	At this time community was referred to as CFB - LINCOLN PARK PMQ (CFL)
COPPERFIELD	COPPERFIELD	CPF	1979	0	0	0	
SOUTHWOOD	SOUTHWOOD	SOW	1993	6,755	2,536	2.66	
RUNDLE	RUNDLE	RUN	1977	5,837	1,702	3.43	
DOVER	DOVER	DOV	1993	11,353	3,765	3.02	
CHRISTIE PARK	CHRISTIE PARK	CHR	2004	2,272	718	3.16	
GARRISON WOODS	GARRISON WOODS	GAW	1998	0	0	0	
GLENBROOK	GLENBROOK	GBK	2000	7,043	2,969	2.37	
MIDNAPORE	MIDNAPORE	MID	2000	7,166	2,464	2.91	
ARBOUR LAKE	ARBOUR LAKE	ARB	2011	10,762	3,790	2.84	
FOREST LAWN	FOREST LAWN	FLN	2008	7,812	3,078	2.54	
FOREST LAWN	FOREST LAWN	FLN	1990	8,438	2,974	2.84	
WESTGATE	WESTGATE	WGT	1996	3,366	1,317	2.56	
